Handle,Title,Status,Published,Variant SKU,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy
alkaram-3-pc-printed-lawn-suit-with-lawn-dupatta-ss-15-1-24-2-black,Alkaram · Ladies Unstitched 3 piece,active,TRUE,KJC-LU-ALK-10015,shopify,5,deny
alkaram-4-piece-embroidered-yarn-dyed-organza-suit-with-yarn-dyed-organza-dupatta-hf-14-25-1-cherry-,Alkaram · Ladies Unstitched Printed Organza 3 piece,active,TRUE,KJC-LU-ALK-10016,shopify,5,deny
alkaram-2-pc-embroidered-thin-cambric-suit-with-fancy-zarri-dupatta-fc-34n-25-persian-blue,Alkaram · Ladies Unstitched Printed 2 piece,active,TRUE,KJC-LU-ALK-10017,shopify,5,deny
alkaram-3-pc-embroidered-viscose-jacquard-suit-with-chiffon-dupatta-fc-27k-25-white,Alkaram · Ladies Unstitched Embroidered Lawn 3 piece,active,TRUE,KJC-LU-ALK-10018,shopify,5,deny
alkaram-3-pc-embroidered-lawn-suit-with-burnout-dupatta-fc-24j-25-lavender,Alkaram · Ladies Unstitched Embroidered Lawn 3 piece,active,TRUE,KJC-LU-ALK-10019,shopify,5,deny
alkaram-3-pc-embroidered-jacquard-suit-with-organza-jacquard-dupatta-fc-20h-25-green,Alkaram · Ladies Unstitched Embroidered Jacquard 3 piece,active,TRUE,KJC-LU-ALK-10020,shopify,5,deny
alkaram-3-piece-embroidered-lawn-suit-with-chiffon-dupatta-ll-12-25-1-royal-blue,Alkaram · Ladies Unstitched Embroidered Lawn 3 piece,active,TRUE,KJC-LU-ALK-10021,shopify,5,deny
alkaram-3-piece-embroidered-lawn-suit-with-tissue-silk-dupatta-ll-11-25-1-sage-green,Alkaram · Ladies Unstitched Printed Lawn 3 piece,active,TRUE,KJC-LU-ALK-10022,shopify,5,deny
alkaram-3-piece-printed-lawn-suit-with-printed-zari-dupatta-ss-6-25-1-dark-blue,Alkaram · Ladies Unstitched Printed Lawn 3 piece,active,TRUE,KJC-LU-ALK-10023,shopify,5,deny
alkaram-four-piece-embroidered-organza-6m-suit-with-organza-dupatta-lf-09-24-2-ivory,Alkaram · Ladies Unstitched Embroidered Organza 3 piece,active,TRUE,KJC-LU-ALK-10024,shopify,5,deny
alkaram-3-pc-embroidered-indian-silk-suit-with-yarn-dyed-dupatta-f2-10-25-pink,Alkaram · Ladies Unstitched Embroidered Lawn 3 piece,active,TRUE,KJC-LU-ALK-10025,shopify,5,deny
alkaram-3-piece-printed-lawn-suit-with-printed-lawn-dupatta-ss-10-1-25-1-pink,Alkaram · Ladies Unstitched Printed Lawn 3 piece,active,TRUE,KJC-LU-ALK-10026,shopify,5,deny
alkaram-3-piece-embroiderd-dyed-self-jacquard-suit-with-printed-manar-dupatta-jec-02-25-1-mint-green,Alkaram · Ladies Unstitched Jacquard Lawn 2 piece,active,TRUE,KJC-LU-ALK-10027,shopify,5,deny
alkaram-3-piece-printed-light-cambric-suit-with-slub-dupatta-ac-03-25-1-black,Alkaram · Ladies Unstitched Printed 3 piece,active,TRUE,KJC-LU-ALK-10028,shopify,5,deny
alkaram-3-pc-printed-lawn-suit-with-printed-lawn-dupatta-ss-58-25-2-green,Alkaram · Ladies Unstitched Printed Lawn 3 piece,active,TRUE,KJC-LU-ALK-10029,shopify,5,deny
alkaram-3-pc-embroidered-dyed-lawn-suit-with-printed-burnout-dupatta-ss-43-25-2-red,Alkaram · Ladies Unstitched Embroidered Lawn 3 piece,active,TRUE,KJC-LU-ALK-10030,shopify,5,deny
alkaram-3-pc-embroidered-dyed-self-jacquard-suit-with-printed-chiffon-dupatta-ss-38-1-25-2-black,Alkaram · Ladies Unstitched Jacquard Lawn 2 piece,active,TRUE,KJC-LU-ALK-10031,shopify,5,deny
alkaram-2-pc-printed-lawn-suit-with-printed-lawn-dupatta-ss-66-1-25-2-green,Alkaram · Ladies Unstitched Embroidered Lawn 2 piece,active,TRUE,KJC-LU-ALK-10032,shopify,5,deny
alkaram-2-pc-embroidered-dyed-dobby-suit-with-dyed-cambric-trouser-ss-65-1-25-2-cream,Alkaram · Ladies Unstitched Embroidered 2 piece,active,TRUE,KJC-LU-ALK-10033,shopify,5,deny
alkaram-4-piece-embroidered-yarn-dyed-organza-suit-with-yarn-dyed-organza-dupatta-hf-15-25-1-navy-bl,Alkaram · Ladies Unstitched Printed Organza 3 piece,active,TRUE,KJC-LU-ALK-10034,shopify,5,deny
