brand_code,brand,group
AYZ,Ayla Zahra,bridal
HUR,Hussain Rehar,bridal
NOF,Noor e Fajar,bridal
NOS,Noor by Sadia,bridal
PAR,Parishy,bridal
RAJ,Rajbari,bridal
SAN,Sadia Noor,bridal
SAS,Saira Shakira,bridal
SH2,Shahista,bridal
SHH,Shiza Hassan,bridal
SON,Sobia Nazir,bridal
SRI,Saira Rizwan,bridal
SSA,Sanum Saeed,bridal
ZAS,Zahra Shahjahan,bridal
ZEB,Zebtan,bridal
BAR,Barooque,gents
BIS,Bin Saeed,gents
CHA,Chawla,gents
DYN,Dynasty,gents
GHA,Ghani & Sons,gents
GHI,Ghazi Ilamdin,gents
GRA,Grace,gents
LAA,Laaj,gents
NAR,Narkins,gents
PAS,Pasha,gents
PUR,Puri,gents
RAS,Rashid,gents
SHA,Shabbir,gents
SHR,Shaffer,gents
SIT,Sitara,gents
STA,Stallers,gents
KHJ,Khan Jee,house
LDA,Lada,house
ALK,Alkaram,ladies
ASJ,Asim Jofa,ladies
BII,Bin Ilyas,ladies
CHR,Charizma,ladies
COL,Columkari,ladies
CRI,Crimson,ladies
ELA,Elan,ladies
EMA,Emaan Adeel,ladies
EMB,Emblish,ladies
FLO,Florent,ladies
GLA,Glamour,ladies
GUA,Gul Ahmad,ladies
GUL,Gulaal,ladies
IZI,Izinek,ladies
JHO,Jhora,ladies
KHO,Khoobsoorat,ladies
LAK,Lakhanee,ladies
MAB,Maria B,ladies
MUS,Mushq,ladies
NOO,Noor,ladies
NUR,Nur,ladies
RAE,Raessa,ladies
RAM,Ramshah,ladies
RAR,Rang Rasia,ladies
RAZ,Razab,ladies
SAR,Sara,ladies
SER,Seren,ladies
SIR,Sirine,ladies
ZEL,Zellbury,ladies
