sku,brand_code,brand,category,source_url
KJC-LU-ALK-10015,ALK,Alkaram,LU,https://alkaramstudio.com/products/3-pc-printed-lawn-suit-with-lawn-dupatta-ss-15-1-24-2-black
KJC-LU-ALK-10016,ALK,Alkaram,LU,https://alkaramstudio.com/products/4-piece-embroidered-yarn-dyed-organza-suit-with-yarn-dyed-organza-dupatta-hf-14-25-1-cherry-red
KJC-LU-ALK-10017,ALK,Alkaram,LU,https://alkaramstudio.com/products/2-pc-embroidered-thin-cambric-suit-with-fancy-zarri-dupatta-fc-34n-25-persian-blue
KJC-LU-ALK-10018,ALK,Alkaram,LU,https://alkaramstudio.com/products/3-pc-embroidered-viscose-jacquard-suit-with-chiffon-dupatta-fc-27k-25-white
KJC-LU-ALK-10019,ALK,Alkaram,LU,https://alkaramstudio.com/products/3-pc-embroidered-lawn-suit-with-burnout-dupatta-fc-24j-25-lavender
KJC-LU-ALK-10020,ALK,Alkaram,LU,https://alkaramstudio.com/products/3-pc-embroidered-jacquard-suit-with-organza-jacquard-dupatta-fc-20h-25-green
KJC-LU-ALK-10021,ALK,Alkaram,LU,https://alkaramstudio.com/products/3-piece-embroidered-lawn-suit-with-chiffon-dupatta-ll-12-25-1-royal-blue
KJC-LU-ALK-10022,ALK,Alkaram,LU,https://alkaramstudio.com/products/3-piece-embroidered-lawn-suit-with-tissue-silk-dupatta-ll-11-25-1-sage-green
KJC-LU-ALK-10023,ALK,Alkaram,LU,https://alkaramstudio.com/products/3-piece-printed-lawn-suit-with-printed-zari-dupatta-ss-6-25-1-dark-blue
KJC-LU-ALK-10024,ALK,Alkaram,LU,https://alkaramstudio.com/products/four-piece-embroidered-organza-6m-suit-with-organza-dupatta-lf-09-24-2-ivory
KJC-LU-ALK-10025,ALK,Alkaram,LU,https://alkaramstudio.com/products/3-pc-embroidered-indian-silk-suit-with-yarn-dyed-dupatta-f2-10-25-pink
KJC-LU-ALK-10026,ALK,Alkaram,LU,https://alkaramstudio.com/products/3-piece-printed-lawn-suit-with-printed-lawn-dupatta-ss-10-1-25-1-pink
KJC-LU-ALK-10027,ALK,Alkaram,LU,https://alkaramstudio.com/products/3-piece-embroiderd-dyed-self-jacquard-suit-with-printed-manar-dupatta-jec-02-25-1-mint-green
KJC-LU-ALK-10028,ALK,Alkaram,LU,https://alkaramstudio.com/products/3-piece-printed-light-cambric-suit-with-slub-dupatta-ac-03-25-1-black
KJC-LU-ALK-10029,ALK,Alkaram,LU,https://alkaramstudio.com/products/3-pc-printed-lawn-suit-with-printed-lawn-dupatta-ss-58-25-2-green
KJC-LU-ALK-10030,ALK,Alkaram,LU,https://alkaramstudio.com/products/3-pc-embroidered-dyed-lawn-suit-with-printed-burnout-dupatta-ss-43-25-2-red
KJC-LU-ALK-10031,ALK,Alkaram,LU,https://alkaramstudio.com/products/3-pc-embroidered-dyed-self-jacquard-suit-with-printed-chiffon-dupatta-ss-38-1-25-2-black
KJC-LU-ALK-10032,ALK,Alkaram,LU,https://alkaramstudio.com/products/2-pc-printed-lawn-suit-with-printed-lawn-dupatta-ss-66-1-25-2-green
KJC-LU-ALK-10033,ALK,Alkaram,LU,https://alkaramstudio.com/products/2-pc-embroidered-dyed-dobby-suit-with-dyed-cambric-trouser-ss-65-1-25-2-cream
KJC-LU-ALK-10034,ALK,Alkaram,LU,https://alkaramstudio.com/products/4-piece-embroidered-yarn-dyed-organza-suit-with-yarn-dyed-organza-dupatta-hf-15-25-1-navy-blue
KJC-LU-ALK-10035,ALK,Alkaram,LU,https://alkaramstudio.com/products/4-piece-embroidered-yarn-dyed-organza-suit-with-dyed-organza-dupatta-hf-13-25-1-cream
KJC-LU-ALK-10036,ALK,Alkaram,LU,https://alkaramstudio.com/products/4-piece-embroidered-yarn-dyed-organza-suit-with-dyed-organza-dupatta-hf-12-25-1-blush-pink
KJC-LU-ALK-10037,ALK,Alkaram,LU,https://alkaramstudio.com/products/4-piece-embroidered-yarn-dyed-zari-net-suit-with-dyed-zari-net-dupatta-hf-11-25-1-lavender
KJC-LU-ALK-10038,ALK,Alkaram,LU,https://alkaramstudio.com/products/4-piece-embroidered-yarn-dyed-zari-net-suit-with-yarn-dyed-zari-net-dupatta-hf-10-25-1-sage-green
KJC-LU-ALK-10039,ALK,Alkaram,LU,https://alkaramstudio.com/products/4-piece-embroidered-yarn-dyed-suit-with-yarn-dyed-zari-net-dupatta-hf-06-25-1-pink
KJC-LU-ALK-10040,ALK,Alkaram,LU,https://alkaramstudio.com/products/4-piece-embroidered-yarn-dyed-suit-with-zari-khaddi-dupatta-hf-01-25-1-beige
KJC-LU-ALK-10041,ALK,Alkaram,LU,https://alkaramstudio.com/products/2-pc-embroidered-thin-cambric-suit-with-yarn-dyed-dupatta-fc-33n-25-mint
KJC-LU-ALK-10042,ALK,Alkaram,LU,https://alkaramstudio.com/products/3-pc-embroidered-cotton-silk-suit-with-poly-net-dupatta-fc-32m-25-red
KJC-LU-ALK-10043,ALK,Alkaram,LU,https://alkaramstudio.com/products/3-pc-embroidered-cotton-silk-suit-with-organza-dupatta-fc-12e-25-lime-green
KJC-LU-ALK-10044,ALK,Alkaram,LU,https://alkaramstudio.com/products/3-piece-printed-lawn-suit-with-printed-chiffon-dupatta-ss-10-25-1-black
KJC-LU-ALK-10045,ALK,Alkaram,LU,https://alkaramstudio.com/products/3-piece-printed-lawn-suit-with-printed-chiffon-dupatta-ss-9-25-1-green
