Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Status,Metafield: custom.by_fabric [single_line_text_field],Metafield: custom.by_pieces [single_line_text_field],Metafield: custom.by_type [single_line_text_field],Metafield: custom.by_color [single_line_text_field],_title_branded,_title_whitelabel,_source_brand,_source_url,_in_stock_at_source
alkaram-3-pc-printed-lawn-suit-with-lawn-dupatta-ss-15-1-24-2-black,Alkaram · Ladies Unstitched 3 piece,,Alkaram,Ladies Unstitched,"brand:Alkaram, gender:ladies, unstitched, pieces:3",FALSE,Title,Default Title,KJC-LU-ALK-10015,shopify,0,deny,manual,3423.00,4890.00,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0623/6481/1444/files/SS-15.1-24-2-Black-2.jpg?v=1718563841,1,Ladies Unstitched 3 piece,draft,,3 piece,,,Alkaram · Ladies Unstitched 3 piece,Ladies Unstitched 3 piece,Alkaram,https://alkaramstudio.com/products/3-pc-printed-lawn-suit-with-lawn-dupatta-ss-15-1-24-2-black,yes
alkaram-3-pc-printed-lawn-suit-with-lawn-dupatta-ss-15-1-24-2-black,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0623/6481/1444/files/SS-15.1-24-2-Black-1.jpg?v=1718563838,2,,,,,,,,,,,
alkaram-3-pc-printed-lawn-suit-with-lawn-dupatta-ss-15-1-24-2-black,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0623/6481/1444/files/SS-15.1-24-2-Black-3.jpg?v=1718563845,3,,,,,,,,,,,
alkaram-4-piece-embroidered-yarn-dyed-organza-suit-with-yarn-dyed-organza-dupatta-hf-14-25-1-cherry-,Alkaram · Ladies Unstitched Printed Organza 3 piece,,Alkaram,Ladies Unstitched,"brand:Alkaram, gender:ladies, unstitched, fabric:Organza, pieces:3, type:Printed",FALSE,Title,Default Title,KJC-LU-ALK-10016,shopify,0,deny,manual,12792.00,15990.00,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0623/6481/1444/files/HF-14-25-1-CHERRY_RED-1_2f7f5700-5cee-4df6-bf61-5b9147b5ebf4.jpg?v=1738659881,1,Ladies Unstitched Printed Organza 3 piece,draft,Organza,3 piece,Printed,,Alkaram · Ladies Unstitched Printed Organza 3 piece,Ladies Unstitched Printed Organza 3 piece,Alkaram,https://alkaramstudio.com/products/4-piece-embroidered-yarn-dyed-organza-suit-with-yarn-dyed-organza-dupatta-hf-14-25-1-cherry-red,yes
alkaram-4-piece-embroidered-yarn-dyed-organza-suit-with-yarn-dyed-organza-dupatta-hf-14-25-1-cherry-,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0623/6481/1444/files/HF-14-25-1-CHERRY_RED-2_278e3bf7-4d56-4104-b683-33f3c71a0d6e.jpg?v=1738659883,2,,,,,,,,,,,
alkaram-4-piece-embroidered-yarn-dyed-organza-suit-with-yarn-dyed-organza-dupatta-hf-14-25-1-cherry-,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0623/6481/1444/files/HF-14-25-1-CHERRY_RED-3_db2d8d88-2186-4687-952f-b8cc16dbad3d.jpg?v=1738659886,3,,,,,,,,,,,
alkaram-4-piece-embroidered-yarn-dyed-organza-suit-with-yarn-dyed-organza-dupatta-hf-14-25-1-cherry-,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0623/6481/1444/files/HF-14-25-1-CHERRY_RED-4_a593f81a-553e-48fa-8c93-01a0e9d188a8.jpg?v=1738659888,4,,,,,,,,,,,
alkaram-2-pc-embroidered-thin-cambric-suit-with-fancy-zarri-dupatta-fc-34n-25-persian-blue,Alkaram · Ladies Unstitched Printed 2 piece,,Alkaram,Ladies Unstitched,"brand:Alkaram, gender:ladies, unstitched, pieces:2, type:Printed",FALSE,Title,Default Title,KJC-LU-ALK-10017,shopify,0,deny,manual,4893.00,6990.00,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0623/6481/1444/files/FC-34N-25-PERSIAN_BLUE-1_b1b3d57a-a602-48db-8a1e-467fe6b887f6.jpg?v=1738575431,1,Ladies Unstitched Printed 2 piece,draft,,2 piece,Printed,,Alkaram · Ladies Unstitched Printed 2 piece,Ladies Unstitched Printed 2 piece,Alkaram,https://alkaramstudio.com/products/2-pc-embroidered-thin-cambric-suit-with-fancy-zarri-dupatta-fc-34n-25-persian-blue,yes
alkaram-2-pc-embroidered-thin-cambric-suit-with-fancy-zarri-dupatta-fc-34n-25-persian-blue,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0623/6481/1444/files/FC-34N-25-PERSIAN_BLUE-2_1598da6a-b27a-47c1-ba53-291eb9bf4cd2.jpg?v=1738575434,2,,,,,,,,,,,
alkaram-2-pc-embroidered-thin-cambric-suit-with-fancy-zarri-dupatta-fc-34n-25-persian-blue,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0623/6481/1444/files/FC-34N-25-PERSIAN_BLUE-3_bafe4882-cf54-4e68-a739-d22937f02fd9.jpg?v=1738575436,3,,,,,,,,,,,
alkaram-2-pc-embroidered-thin-cambric-suit-with-fancy-zarri-dupatta-fc-34n-25-persian-blue,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0623/6481/1444/files/FC-34N-25-PERSIAN_BLUE-4_3330a2f0-4c77-47ca-a889-aa2030abbcb3.jpg?v=1738575438,4,,,,,,,,,,,
alkaram-3-pc-embroidered-viscose-jacquard-suit-with-chiffon-dupatta-fc-27k-25-white,Alkaram · Ladies Unstitched Embroidered Lawn 3 piece,,Alkaram,Ladies Unstitched,"brand:Alkaram, gender:ladies, unstitched, fabric:Lawn, pieces:3, type:Embroidered",FALSE,Title,Default Title,KJC-LU-ALK-10018,shopify,0,deny,manual,7693.00,10990.00,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0623/6481/1444/files/FC-27K-25-WHITE-1_5e3e5769-409f-4198-8456-03d95cf64396.jpg?v=1738575373,1,Ladies Unstitched Embroidered Lawn 3 piece,draft,Lawn,3 piece,Embroidered,,Alkaram · Ladies Unstitched Embroidered Lawn 3 piece,Ladies Unstitched Embroidered Lawn 3 piece,Alkaram,https://alkaramstudio.com/products/3-pc-embroidered-viscose-jacquard-suit-with-chiffon-dupatta-fc-27k-25-white,yes
alkaram-3-pc-embroidered-viscose-jacquard-suit-with-chiffon-dupatta-fc-27k-25-white,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0623/6481/1444/files/FC-27K-25-WHITE-2_bb1aaa0c-e15e-4830-8474-f77b0997364d.jpg?v=1738575377,2,,,,,,,,,,,
alkaram-3-pc-embroidered-viscose-jacquard-suit-with-chiffon-dupatta-fc-27k-25-white,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0623/6481/1444/files/FC-27K-25-WHITE-3_c613f3ba-e31b-4faa-a0df-72c0a9e67652.jpg?v=1738575378,3,,,,,,,,,,,
alkaram-3-pc-embroidered-viscose-jacquard-suit-with-chiffon-dupatta-fc-27k-25-white,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0623/6481/1444/files/FC-27K-25-WHITE-4_b74bed17-fa06-4328-9968-d4f39b83f95b.jpg?v=1738575380,4,,,,,,,,,,,
alkaram-3-pc-embroidered-lawn-suit-with-burnout-dupatta-fc-24j-25-lavender,Alkaram · Ladies Unstitched Embroidered Lawn 3 piece,,Alkaram,Ladies Unstitched,"brand:Alkaram, gender:ladies, unstitched, fabric:Lawn, pieces:3, type:Embroidered",FALSE,Title,Default Title,KJC-LU-ALK-10019,shopify,0,deny,manual,7693.00,10990.00,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0623/6481/1444/files/FC-24J-25-LAVENDER-1_3cd39641-03f7-453b-8b05-64fe2110812d.jpg?v=1738575348,1,Ladies Unstitched Embroidered Lawn 3 piece,draft,Lawn,3 piece,Embroidered,,Alkaram · Ladies Unstitched Embroidered Lawn 3 piece,Ladies Unstitched Embroidered Lawn 3 piece,Alkaram,https://alkaramstudio.com/products/3-pc-embroidered-lawn-suit-with-burnout-dupatta-fc-24j-25-lavender,yes
alkaram-3-pc-embroidered-lawn-suit-with-burnout-dupatta-fc-24j-25-lavender,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0623/6481/1444/files/FC-24J-25-LAVENDER-2_34b98edc-d1b4-4f63-83f9-2758dfb45c15.jpg?v=1738575350,2,,,,,,,,,,,
alkaram-3-pc-embroidered-lawn-suit-with-burnout-dupatta-fc-24j-25-lavender,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0623/6481/1444/files/FC-24J-25-LAVENDER-3_0a4a523d-1d71-4c53-882b-f849544d0a25.jpg?v=1738575353,3,,,,,,,,,,,
alkaram-3-pc-embroidered-lawn-suit-with-burnout-dupatta-fc-24j-25-lavender,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0623/6481/1444/files/FC-24J-25-LAVENDER-4_90567eb7-5173-4f6e-9d17-918ef8d5cbf8.jpg?v=1738575354,4,,,,,,,,,,,
alkaram-3-pc-embroidered-jacquard-suit-with-organza-jacquard-dupatta-fc-20h-25-green,Alkaram · Ladies Unstitched Embroidered Jacquard 3 piece,,Alkaram,Ladies Unstitched,"brand:Alkaram, gender:ladies, unstitched, fabric:Jacquard, pieces:3, type:Embroidered",FALSE,Title,Default Title,KJC-LU-ALK-10020,shopify,0,deny,manual,7693.00,10990.00,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0623/6481/1444/files/FC-20H-25-GREEN-1_4d5ebc21-797c-496e-bcec-6bd21c91c13f.jpg?v=1738575316,1,Ladies Unstitched Embroidered Jacquard 3 piece,draft,Jacquard,3 piece,Embroidered,,Alkaram · Ladies Unstitched Embroidered Jacquard 3 piece,Ladies Unstitched Embroidered Jacquard 3 piece,Alkaram,https://alkaramstudio.com/products/3-pc-embroidered-jacquard-suit-with-organza-jacquard-dupatta-fc-20h-25-green,yes
alkaram-3-pc-embroidered-jacquard-suit-with-organza-jacquard-dupatta-fc-20h-25-green,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0623/6481/1444/files/FC-20H-25-GREEN-2_71495ef8-2d3a-4380-bea8-47d639d6b37a.jpg?v=1738575318,2,,,,,,,,,,,
alkaram-3-pc-embroidered-jacquard-suit-with-organza-jacquard-dupatta-fc-20h-25-green,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0623/6481/1444/files/FC-20H-25-GREEN-3_a95bcf7b-c220-48a3-a848-40d4d6fade71.jpg?v=1738575320,3,,,,,,,,,,,
alkaram-3-pc-embroidered-jacquard-suit-with-organza-jacquard-dupatta-fc-20h-25-green,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0623/6481/1444/files/FC-20H-25-GREEN-4_8ecd9e00-0d68-4c16-b345-cb06094a896e.jpg?v=1738575322,4,,,,,,,,,,,
alkaram-3-piece-embroidered-lawn-suit-with-chiffon-dupatta-ll-12-25-1-royal-blue,Alkaram · Ladies Unstitched Embroidered Lawn 3 piece,,Alkaram,Ladies Unstitched,"brand:Alkaram, gender:ladies, unstitched, fabric:Lawn, pieces:3, type:Embroidered",FALSE,Title,Default Title,KJC-LU-ALK-10021,shopify,0,deny,manual,8393.00,11990.00,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0623/6481/1444/files/LL-12-25-1-ROYAL_BLUE-1_cfa938d3-3615-4dc4-a73b-e2456e1a3e94.jpg?v=1738133707,1,Ladies Unstitched Embroidered Lawn 3 piece,draft,Lawn,3 piece,Embroidered,,Alkaram · Ladies Unstitched Embroidered Lawn 3 piece,Ladies Unstitched Embroidered Lawn 3 piece,Alkaram,https://alkaramstudio.com/products/3-piece-embroidered-lawn-suit-with-chiffon-dupatta-ll-12-25-1-royal-blue,yes
alkaram-3-piece-embroidered-lawn-suit-with-chiffon-dupatta-ll-12-25-1-royal-blue,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0623/6481/1444/files/LL-12-25-1-ROYAL_BLUE-2_8a84fb6c-e66e-4467-b1ee-27f85d4cbcc7.jpg?v=1738133709,2,,,,,,,,,,,
alkaram-3-piece-embroidered-lawn-suit-with-chiffon-dupatta-ll-12-25-1-royal-blue,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0623/6481/1444/files/LL-12-25-1-ROYAL_BLUE-3_7f255fdf-a292-4eda-9922-178a7f2b1aac.jpg?v=1738133712,3,,,,,,,,,,,
alkaram-3-piece-embroidered-lawn-suit-with-chiffon-dupatta-ll-12-25-1-royal-blue,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0623/6481/1444/files/LL-12-25-1-ROYAL_BLUE-4_68fccdb4-fb04-4bc4-b259-708e6cbb773f.jpg?v=1738133714,4,,,,,,,,,,,
alkaram-3-piece-embroidered-lawn-suit-with-tissue-silk-dupatta-ll-11-25-1-sage-green,Alkaram · Ladies Unstitched Printed Lawn 3 piece,,Alkaram,Ladies Unstitched,"brand:Alkaram, gender:ladies, unstitched, fabric:Lawn, pieces:3, type:Printed",FALSE,Title,Default Title,KJC-LU-ALK-10022,shopify,0,deny,manual,8393.00,11990.00,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0623/6481/1444/files/LL-11-25-1-SAGE_GREEN-1_97bd0264-c9b0-44d7-b05b-230744d7cd38.jpg?v=1738133697,1,Ladies Unstitched Printed Lawn 3 piece,draft,Lawn,3 piece,Printed,,Alkaram · Ladies Unstitched Printed Lawn 3 piece,Ladies Unstitched Printed Lawn 3 piece,Alkaram,https://alkaramstudio.com/products/3-piece-embroidered-lawn-suit-with-tissue-silk-dupatta-ll-11-25-1-sage-green,yes
alkaram-3-piece-embroidered-lawn-suit-with-tissue-silk-dupatta-ll-11-25-1-sage-green,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0623/6481/1444/files/LL-11-25-1-SAGE_GREEN-2_921894e6-5ece-4a6d-8fb1-c0f8c394b599.jpg?v=1738133700,2,,,,,,,,,,,
alkaram-3-piece-embroidered-lawn-suit-with-tissue-silk-dupatta-ll-11-25-1-sage-green,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0623/6481/1444/files/LL-11-25-1-SAGE_GREEN-3_ba420bea-3fc0-429c-b7b0-18c0b05f20f3.jpg?v=1738133702,3,,,,,,,,,,,
alkaram-3-piece-embroidered-lawn-suit-with-tissue-silk-dupatta-ll-11-25-1-sage-green,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0623/6481/1444/files/LL-11-25-1-SAGE_GREEN-4_9e34d1d6-0981-487e-a5d1-a7ae08b6b255.jpg?v=1738133704,4,,,,,,,,,,,
alkaram-3-piece-printed-lawn-suit-with-printed-zari-dupatta-ss-6-25-1-dark-blue,Alkaram · Ladies Unstitched Printed Lawn 3 piece,,Alkaram,Ladies Unstitched,"brand:Alkaram, gender:ladies, unstitched, fabric:Lawn, pieces:3, type:Printed",FALSE,Title,Default Title,KJC-LU-ALK-10023,shopify,0,deny,manual,4403.00,6290.00,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0623/6481/1444/files/SS-6-25-1-DARK_BLUE-1_2e2a00b0-2903-4da2-a020-c4d4f1f0a572.jpg?v=1736449549,1,Ladies Unstitched Printed Lawn 3 piece,draft,Lawn,3 piece,Printed,,Alkaram · Ladies Unstitched Printed Lawn 3 piece,Ladies Unstitched Printed Lawn 3 piece,Alkaram,https://alkaramstudio.com/products/3-piece-printed-lawn-suit-with-printed-zari-dupatta-ss-6-25-1-dark-blue,yes
alkaram-3-piece-printed-lawn-suit-with-printed-zari-dupatta-ss-6-25-1-dark-blue,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0623/6481/1444/files/SS-6-25-1-DARK_BLUE-2_f8d66424-eb4a-40c9-b09b-c8557eac2e37.jpg?v=1736449551,2,,,,,,,,,,,
